Top Q S-full,Top Q R-full,Mid Q S-full,Mid Q R-full,Corr-full,Gini-full,Churn-full,Top Q S-null-ref,Mid Q S-null-ref,Corr-null-ref,Gini-null-ref,Churn-null-ref,Top Q S-null-thre,Mid Q S-null-thre,Corr-null-thre,Gini-null-thre,Churn-null-thre
30,0,10,0,0.79519185569458,0.6336134751773050,33,28,12,0.7776693591741880,0.9182145390070920,11,30,10,0.7760697585761270,0.9218476676384840,40
32,0,8,0,0.7951895282612630,0.6366421052631580,13,33,7,0.7775215373304710,0.918269298245614,12,32,8,0.7759832408625130,0.9218654214559390,13
30,0,10,0,0.7952262822154350,0.6395998263888890,8,34,6,0.7774008041649740,0.9183255208333330,10,30,10,0.7759352194163270,0.9218508026440040,8
31,0,9,0,0.7951038852027950,0.6424664948453610,10,33,7,0.7774317476660900,0.9183127147766320,8,31,9,0.7759292825151760,0.9217783985102420,10
0,7,0,12,0.7957862157155450,0.6390136054421770,34,32,8,0.777587431778857,0.9182593537414970,12,0,0,0.7758668281930370,0.9217240587695130,0
32,0,7,0,0.7955524585771950,0.6416035353535350,34,33,7,0.7774866632183460,0.9182861952861950,12,32,7,0.7758668281930370,0.9217240587695130,39
0,6,0,17,0.797010665550702,0.6385216666666670,35,35,5,0.7772983559031610,0.91835,10,0,0,0.7757914739232100,0.921743685581606,0
31,0,9,0,0.7970778093633610,0.6412211221122110,32,33,7,0.7772961483219990,0.9183457095709570,8,31,9,0.7759628294304090,0.9216633143367970,40
0,11,0,8,0.7973744968629640,0.6382271241830070,30,32,8,0.7773512939639920,0.9183153594771240,13,0,0,0.7760723741515520,0.9215905833057670,0
29,0,11,0,0.7977553726842690,0.6407144012944980,31,31,9,0.7774690848096210,0.9182669902912620,10,29,11,0.776441491656048,0.9214196321688970,40
30,0,10,0,0.7976841042192920,0.643375,11,31,9,0.7775878748926170,0.918224358974359,13,30,10,0.7764151100776920,0.9213841443764100,11
3,4,0,11,0.7978336212424840,0.6388936507936510,32,31,9,0.7776407010801470,0.9182174603174600,12,3,0,0.7763401325912530,0.9213559232156110,0
17,3,2,6,0.7977327054044100,0.6379441823899370,35,33,7,0.7776115184763580,0.9182366352201260,10,17,2,0.7764404134014190,0.9214250900614540,16
31,0,9,0,0.797879575061093,0.6405397196261680,22,32,8,0.7775708743324360,0.9182398753894080,10,31,9,0.776665147381617,0.9213527934714380,22
32,0,8,0,0.7978520994611780,0.6431118827160490,10,33,7,0.7774688192091590,0.9182708333333330,9,32,8,0.776729579127059,0.9213205207687540,10
32,0,8,0,0.7978861111822190,0.6455894495412840,11,33,7,0.7774545290314180,0.9182943425076450,11,32,8,0.7769174933081170,0.9212533170034700,11
32,0,8,0,0.7977105806036670,0.6480704545454550,12,35,5,0.7771949123329280,0.9183765151515150,11,32,8,0.7769222018218300,0.9212048800161320,12
31,0,9,0,0.797665579082746,0.6504864864864860,12,33,7,0.7772137725949600,0.9183828828828830,9,31,9,0.7769554816793600,0.9211496314006770,12
32,0,8,0,0.7976626149248300,0.6528653273809520,9,32,8,0.7770462604937610,0.9184375,11,32,8,0.7769885363621200,0.9211143925969680,9
1,9,0,11,0.7984422858666050,0.6503502949852510,30,33,7,0.7770115655315470,0.9184594395280240,10,1,0,0.7769788200220600,0.9210887332165790,0
2,8,0,8,0.7990490100228630,0.6472207602339180,35,31,9,0.7770044983228750,0.9184619883040940,10,2,0,0.7770667609611150,0.9211112732224490,1
1,6,0,10,0.7998963505262160,0.6440652173913040,38,31,9,0.7770344761788270,0.9184478260869570,11,1,0,0.7771542491187160,0.9211543695926900,0
